,0
1607,9314
1608,120
1609,30484
1610,752
1611,13839
1612,20329
1613,3342
1614,14941
1615,9493
1616,22319
1617,20555
1618,1289
1619,24975
1620,4866
1621,2100
1622,25099
1623,19099
1624,11499
1625,207
1626,6023
1627,33255
1628,369
1629,9734
1630,12677
1631,25839
1632,2037
1633,6347
1634,34289
1635,30311
1636,1908
1637,1328
1638,926
1639,11633
1640,18245
1641,35507
1642,740
1643,22199
1644,10431
1645,908
1646,10196
1647,4549
1648,6421
1649,8795
1650,10827
1651,30015
1652,31566
1653,1628
1654,35434
1655,15649
1656,12685
1657,5630
1658,28833
1659,741
1660,1787
1661,9733
1662,260
1663,412
1664,11859
1665,33025
1666,960
1667,925
1668,10798
1669,33013
1670,3470
1671,246
1672,32215
1673,387
1674,10213
1675,2000
1676,27947
1677,33011
1678,19191
1679,31737
1680,10030
1681,33697
1682,1858
1683,33934
1684,2253
1685,121
1686,31793
1687,17821
1688,6633
1689,7695
1690,10884
1691,2746
1692,5717
1693,34382
1694,6867
1695,3424
1696,141
1697,2891
1698,21097
1699,18495
1700,11769
1701,652
1702,1241
1703,12531
1704,6758
1705,1219
1706,265
1707,3446
1708,14685
1709,464
1710,19669
1711,1060
1712,30727
1713,764
1714,11235
1715,527
1716,10740
1717,516
1718,10357
1719,34428
1720,5310
1721,31658
1722,20365
1723,16355
1724,1136
1725,7135
1726,1174
1727,4197
1728,13599
1729,886
1730,2268
1731,22759
1732,3549
1733,1723
1734,1735
1735,6209
1736,7655
1737,2926
1738,6746
1739,8129
1740,15359
1741,2159
1742,1138
1743,31404
1744,31138
1745,10152
1746,14719
1747,16518
1748,519
1749,1905
1750,1988
1751,27991
1752,14833
1753,21821
1754,760
1755,7016
1756,11917
1757,30533
1758,445
1759,31853
1760,9539
1761,7193
1762,6276
1763,2026
1764,1034
1765,14189
1766,34008
1767,33993
1768,17879
1769,603
1770,1826
1771,247
1772,6505
1773,11241
1774,1390
1775,30375
1776,35465
1777,31500
1778,13561
1779,30137
1780,1002
1781,23047
1782,1453
1783,7367
1784,32936
1785,3859
1786,6211
1787,3092
1788,1044
1789,33798
1790,12863
1791,7705
1792,19111
1793,792
1794,949
1795,24211
1796,280
1797,7588
1798,15117
1799,1258
1800,32494
1801,33618
1802,22433
1803,1356
1804,1980
1805,15785
1806,1366
1807,1270
1808,4232
1809,34766
1810,2450
1811,17249
1812,11019
1813,28819
1814,6946
1815,2175
1816,28701
1817,10568
1818,1842
1819,1369
1820,6392
1821,33731
1822,1482
1823,35838
1824,4725
1825,979
1826,26349
1827,33245
1828,33080
1829,33118
1830,8231
1831,1642
1832,32
1833,28623
1834,10628
1835,861
1836,2129
1837,3701
1838,3731
1839,6280
1840,27417
1841,12859
1842,15881
1843,19769
1844,8171
1845,10396
1846,13253
1847,895
1848,27969
1849,693
1850,268
1851,7647
1852,444
1853,20033
1854,9834
1855,620
1856,6947
1857,481
1858,98
1859,20909
1860,32664
1861,31610
1862,12729
1863,398
1864,25159
1865,2494
1866,8
1867,758
1868,11703
1869,522
1870,8339
1871,229
1872,2171
1873,11113
1874,5597
1875,25285
1876,33003
1877,16363
1878,820
1879,1509
1880,5682
